,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Pasni,PK,76.33,overcast clouds,25.2631,63.471,No hotel found
592,Axim,GH,77.65,moderate rain,4.8699,-2.2405,Axim Beach Hotel
595,Kabo,CF,74.88,few clouds,7.6994,18.629,No hotel found
596,Alyangula,AU,86.36,scattered clouds,-13.8483,136.4192,No hotel found
598,Canutama,BR,74.25,overcast clouds,-6.5339,-64.3831,No hotel found
603,Harper,LR,78.03,clear sky,4.375,-7.7169,No hotel found
605,Balabac,PH,83.48,broken clouds,7.9868,117.0645,No hotel found
608,Tautira,PF,76.39,scattered clouds,-17.7333,-149.15,No hotel found
609,Caxito,AO,77.05,light rain,-8.5785,13.6643,No hotel found
616,Sembe,CG,70.68,overcast clouds,1.6481,14.5806,No hotel found
618,Bonthe,SL,78.44,moderate rain,7.5264,-12.505,No hotel found
620,Rawson,AR,77.18,clear sky,-43.3002,-65.1023,Hotel Deportivo
623,Sao Joao Da Barra,BR,72.91,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
630,Byron Bay,AU,84.7,clear sky,-28.65,153.6167,Lord Byron Resort
631,Jambi,ID,78.3,overcast clouds,-1.6,103.6167,No hotel found
633,General Roca,AR,84.61,broken clouds,-39.0333,-67.5833,Hotel Austral
636,Lethem,GY,77.77,scattered clouds,3.3803,-59.7968,Hotel Amazonas
637,Mayumba,GA,75.88,moderate rain,-3.432,10.6554,Résidence Hôtelière Fabso
639,Valdez,EC,76.8,overcast clouds,1.2492,-78.9831,No hotel found
640,Fuerte,PH,82.54,scattered clouds,17.5381,120.3644,Verzola's Resto Bar & Resort
645,Veraval,IN,71.71,clear sky,20.9,70.3667,Shyam
647,Beitbridge,ZW,75.18,broken clouds,-22.2167,30.0,No hotel found
649,Anloga,GH,80.96,broken clouds,5.7947,0.8973,Hotel de White House
650,Victor Harbor,AU,80.28,light rain,-35.5667,138.6167,Hotel Victor
651,Kasangulu,CD,70.79,moderate rain,-4.5911,15.1708,No hotel found
653,Katobu,ID,83.5,overcast clouds,-4.9408,122.5276,No hotel found
665,Raga,SS,73.22,few clouds,8.4596,25.678,No hotel found
666,Amahai,ID,84.63,overcast clouds,-3.3333,128.9167,No hotel found
667,Ca Mau,VN,80.53,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
673,Le Port,RE,73.36,clear sky,-20.9373,55.2919,No hotel found
674,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Paladino
677,Port Augusta,AU,83.01,overcast clouds,-32.5,137.7667,Hotel Commonwealth
686,Bafoulabe,ML,79.29,overcast clouds,13.8065,-10.8321,No hotel found
